Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,107686655,1379.48205850938,2829507,36.24640528509963,420028,2368571,30.341746605515986,81310,1.0415931869867994,12694,
United States of America,Americas,27122583,8194.07,704567,212.86,101693,471635,142.49,19449,5.88,3584,Community transmission
India,South-East Asia,10892746,789.33,78442,5.68,12143,155550,11.27,632,0.05,103,Clusters of cases
Brazil,Americas,9713909,4569.97,317616,149.42,54742,236201,111.12,7406,3.48,1351,Community transmission
Russian Federation,Europe,4042837,2770.31,108231,74.16,15089,79194,54.27,3462,2.37,507,Clusters of cases
The United Kingdom,Europe,3998659,5890.25,106196,156.43,13494,115529,170.18,5279,7.78,678,Community transmission
France,Europe,3349393,5131.32,128215,196.43,20406,80389,123.16,2841,4.35,357,Community transmission
Spain,Europe,3041454,6505.12,89893,192.26,7181,64217,137.35,1689,3.61,64,Community transmission
Italy,Europe,2683403,4438.18,85957,142.17,15137,92729,153.37,2488,4.11,391,Clusters of cases
Turkey,Europe,2564427,3040.62,55439,65.73,7590,27187,32.24,720,0.85,94,Community transmission
Germany,Europe,2320093,2769.14,55184,65.86,9860,64191,76.61,3594,4.29,556,Community transmission
Colombia,Americas,2179641,4283.64,44229,86.92,6294,56983,111.99,1852,3.64,250,Community transmission
Argentina,Americas,2008345,4443.66,46710,103.35,7311,49874,110.35,1174,2.6,200,Community transmission
Mexico,Americas,1968566,1526.82,68746,53.32,10677,171234,132.81,8312,6.45,1474,Community transmission
Poland,Europe,1577036,4166.91,37472,99.01,6378,40424,106.81,1712,4.52,247,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1503753,1790.33,51366,61.16,7298,58809,70.02,473,0.56,58,Community transmission
South Africa,Africa,1484900,2503.68,18133,30.57,2488,47382,79.89,1777,3,237,Community transmission
Ukraine,Europe,1262867,2887.62,25698,58.76,4773,24174,55.28,787,1.8,116,Community transmission
Peru,Americas,1212309,3676.8,47257,143.33,8807,43045,130.55,1292,3.92,186,Community transmission
Indonesia,South-East Asia,1201859,439.4,67005,24.5,9869,32656,11.94,1454,0.53,275,Community transmission
Czechia,Europe,1073966,10028.65,52489,490.14,9014,17902,167.17,926,8.65,130,Community transmission
Netherlands,Europe,1017302,5937.03,24079,140.53,4472,14662,85.57,431,2.52,74,Community transmission
Canada,Americas,817163,2165.12,23429,62.08,3181,21088,55.87,575,1.52,84,Community transmission
Portugal,Europe,778369,7633.53,29511,289.42,3480,14885,145.98,1403,13.76,167,Clusters of cases
Chile,Americas,768471,4020,24452,127.91,4164,19345,101.2,537,2.81,83,Community transmission
Romania,Europe,755126,3925.24,16974,88.23,2644,19200,99.8,525,2.73,65,Community transmission
Belgium,Europe,733100,6325.49,10146,87.54,1,21551,185.95,243,2.1,2,Community transmission
Israel,Europe,705092,8146.14,34963,403.94,0,5238,60.52,270,3.12,0,Community transmission
Iraq,Eastern Mediterranean,639438,1589.75,13682,34.02,2530,13157,32.71,54,0.13,13,Community transmission
Sweden,Europe,604577,5986.35,19942,197.46,4331,12370,122.48,62,0.61,0,Community transmission
Pakistan,Eastern Mediterranean,560363,253.68,8521,3.86,1270,12218,5.53,332,0.15,33,Community transmission
Philippines,Western Pacific,545300,497.62,11713,10.69,2018,11495,10.49,437,0.4,26,Community transmission
Bangladesh,South-East Asia,539975,327.87,2510,1.52,404,8253,5.01,71,0.04,5,Community transmission
Switzerland,Europe,536865,6203.22,7040,81.34,1354,8953,103.45,106,1.22,22,Community transmission
Morocco,Eastern Mediterranean,477656,1294.09,3277,8.88,496,8450,22.89,82,0.22,10,Clusters of cases
Austria,Europe,425659,4726.18,9290,103.15,1654,8049,89.37,221,2.45,36,Community transmission
Serbia,Europe,415943,5972.96,13243,190.17,2000,4183,60.07,98,1.41,15,Community transmission
Japan,Western Pacific,413154,326.66,11799,9.33,1403,6849,5.42,606,0.48,75,Clusters of cases
Hungary,Europe,383735,3972.27,10171,105.29,1860,13543,140.19,613,6.35,99,Community transmission
Saudi Arabia,Eastern Mediterranean,372073,1068.75,2498,7.18,353,6424,18.45,31,0.09,4,Sporadic cases
Jordan,Eastern Mediterranean,343563,3367.23,10573,103.63,1579,4433,43.45,71,0.7,12,Community transmission
United Arab Emirates,Eastern Mediterranean,342974,3467.75,22848,231.01,3307,986,9.97,84,0.85,12,Community transmission
Lebanon,Eastern Mediterranean,334086,4894.71,18746,274.65,2934,3915,57.36,420,6.15,49,Community transmission
Panama,Americas,330075,7649.89,5586,129.46,708,5572,129.14,181,4.19,22,Community transmission
Nepal,South-East Asia,272557,935.44,850,2.92,127,2054,7.05,19,0.07,2,Clusters of cases
Slovakia,Europe,271473,4972.36,14570,266.87,2487,5629,103.1,653,11.96,127,Clusters of cases
Georgia,Europe,264665,6634.59,3647,91.42,507,3336,83.63,78,1.96,15,Community transmission
Belarus,Europe,263551,2789.1,10138,107.29,1692,1820,19.26,65,0.69,9,Community transmission
Ecuador,Americas,263517,1493.6,8105,45.94,1204,15220,86.27,238,1.35,46,Community transmission
Malaysia,Western Pacific,258306,798.08,23432,72.4,3318,953,2.94,108,0.33,17,Clusters of cases
Kazakhstan,Europe,248566,1323.8,6374,33.95,0,3185,16.96,59,0.31,0,Clusters of cases
Croatia,Europe,237080,5775.02,2378,57.93,371,5282,128.66,160,3.9,19,Community transmission
Bolivia (Plurinational State of),Americas,233854,2003.37,9620,82.41,1352,11044,94.61,411,3.52,48,Community transmission
Azerbaijan,Europe,231649,2284.69,880,8.68,140,3170,31.26,22,0.22,3,Clusters of cases
Bulgaria,Europe,228044,3281.94,5895,84.84,1070,9561,137.6,289,4.16,34,Clusters of cases
Dominican Republic,Americas,227764,2099.61,7338,67.64,1050,2917,26.89,144,1.33,13,Community transmission
Tunisia,Eastern Mediterranean,221455,1873.78,6343,53.67,977,7461,63.13,362,3.06,32,Community transmission
Ireland,Europe,206801,4188.13,6057,122.67,862,3846,77.89,260,5.27,52,Community transmission
Denmark,Europe,203365,3511.01,3030,52.31,478,2269,39.17,85,1.47,14,Community transmission
Costa Rica,Americas,198756,3901.68,2764,54.26,418,2710,53.2,48,0.94,9,Community transmission
Lithuania,Europe,189058,6944.82,3457,126.99,0,3013,110.68,105,3.86,0,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,187526,3675.96,5455,106.93,665,2110,41.36,55,1.08,8,Community transmission
